克尔维尔,30.04743,-99.14032
莫尔特里,31.1799,-83.78906
东利物浦,40.61868,-80.57729
温切斯特,37.99008,-84.17965
洪科斯,18.22652,-65.91637
圣洛伦索,18.18885,-65.966
乌马考,18.15253,-65.81933
多拉多,18.46815,-66.27112
科罗萨尔,18.34167,-66.31228
马纳蒂,18.42896,-66.48386
上维加,18.41462,-66.32158
下维加,18.44083,-66.39931
阿诺德,38.43283,-90.37762
阿雷西博,18.45472,-66.73552
佩里斯,33.78252,-117.22865
伊丽莎白敦,37.69395,-85.85913
贝尔顿,38.81195,-94.5319
法哈多,18.33302,-65.65929
拉米萨,32.7376,-101.951
圣迪马斯,34.10668,-117.80672
纽南,33.38068,-84.79965
杰斐逊敦,38.19424,-85.5644
弗格森,38.74422,-90.3054
詹宁斯,38.71922,-90.26039
米德尔敦,41.44593,-74.42294
巴亚蒙,18.37928,-66.16348
瓜伊纳沃,18.38445,-66.11395
帕哈罗斯,18.36007,-66.21868
坎德拉里亚,18.40474,-66.2179
莱维敦,18.44561,-66.17594
斯坦顿,33.80252,-117.99311
格拉德斯通,39.2039,-94.55467
古拉沃,18.25414,-65.97765
卡瓜斯,18.23228,-66.03897
上特鲁希略,18.36098,-66.01723
西萨克拉门托,38.58046,-121.53024
城里城外,38.61227,-90.46346
德斯佩勒斯,38.60088,-90.4329
柯克伍德,38.58338,-90.40679
莱弗兰,33.58731,-102.37796
尤凯帕,34.03363,-117.04308
格伦代尔,34.14251,-118.25508
奥法隆,38.81061,-90.69984
利伯蒂,30.05799,-94.79548
查珀尔希尔,35.9132,-79.05584
卡夫雷拉,35.91014,-79.07529
加斯托尼亚,35.26208,-81.1873
莱明斯特,42.52509,-71.7598
托灵顿,41.80066,-73.12123
艾伦,33.10318,-96.67056
阿尔文,29.42385,-95.2441
本布鲁克,32.67319,-97.46058
锡达希尔,32.58847,-96.95612
科佩尔,32.95457,-97.015
科珀勒斯科夫,31.12406,-97.90308
迪尔帕克,29.70523,-95.12382
丹尼森,33.75566,-96.53666
格伦多拉,34.13612,-117.86533
贝尔方丹,38.74033,-90.2265
韦伯斯特格罗夫斯,38.59255,-90.35734
佩里,32.45821,-83.73158
利斯萨米特,38.91084,-94.38217
利斯卡德,50.45482,-4.4652
圣彼得斯,38.80033,-90.62651
洛克哈特,29.88494,-97.67
特洛克,37.49466,-120.8466
布里克瑟姆,50.39412,-3.51589
马歇尔,32.54487,-94.36742
费尔维尤,45.53845,-122.43398
霍尼顿,50.79962,-3.1891
格雷舍姆,45.49817,-122.43149
俄勒冈城,45.35734,-122.60677
格拉德斯通,45.38067,-122.59482
西里恩,45.36654,-122.61635
绍曾德奥克斯,34.17056,-118.8376
肯特山,41.15367,-81.35789
法默斯布兰奇,32.92652,-96.89611
弗洛厄马恩德,33.01456,-97.09696
海兰村,33.08855,-97.04819
科林斯,33.15401,-97.06473
弗伦兹伍德,29.5294,-95.20104
格林维尔,33.13844,-96.11081
莱克杰克逊,29.03386,-95.43439
兰开斯特,32.59208,-96.7561
雷德奥克,32.51764,-96.80444
麦金尼,33.19762,-96.61526
皮尔兰,29.56356,-95.28604
圣贝尼托,26.13257,-97.6311
来复,39.5347,-107.78312
拉海纳,20.88328,-156.67149
希博伊根,43.75083,-87.71452
彼得斯菲尔德,51.00463,-0.93393
哈文特,50.85202,-0.98285
奇切斯特,50.83635,-0.77952
塞尔西,50.73498,-0.78975
罗斯韦尔,34.02316,-84.3616
欧文,33.66946,-117.8231
利明顿,50.75765,-1.54911
布里奇曼利,50.82481,-1.17399
费勒姆,50.85247,-1.17875
斯塔宾顿,50.82495,-1.2129
锁希思,50.86395,-1.27751
赖德,50.72991,-1.16197
阿克菲尔德,50.97272,0.09694
刘易斯,50.87565,0.01781
纽黑文,50.79665,0.05563
皮斯黑文,50.7948,-0.00326
锡福德,50.77258,0.10073
大洋城,39.27761,-74.5746
黑尔舍姆,50.86187,0.25789
托马斯顿,32.8882,-84.32658
奥斯威戈,43.45535,-76.5105
圣赫利尔,49.19189,-2.10711
托马斯维尔,30.83658,-83.97878
东兰辛,42.73697,-84.48386
斯托本维尔,40.36979,-80.63396
纽卡斯尔,41.00367,-80.34701
里特尔姆,33.15998,-96.92774
塞科洛尼,33.0937,-96.88947
达拉斯,32.78346,-96.80029
海兰帕克,32.83345,-96.79195
尤尼弗西蒂帕克,32.85012,-96.80029
凯勒,32.93457,-97.25168
沃托加,32.85791,-97.25473
梅塞德斯,26.14979,-97.9136
唐娜,26.17035,-98.05195
韦斯拉科,26.15952,-97.99084
贝德福德,32.84402,-97.14307
科利维尔,32.88095,-97.15501
迪索托,32.58986,-96.85694
格伦海茨,32.55111,-96.85415
邓肯维尔,32.6518,-96.90834
尤利斯,32.83707,-97.08196
格雷普韦恩,32.9343,-97.07807
朗蒙特,40.16721,-105.10193
托科阿,34.57732,-83.33238
恩尼斯基林,54.34403,-7.63129
维达利亚,32.21769,-82.41346
